,b0,b1,b2,b3,dt,stationId,w
239,83,80,75,67,2017-06-24 18:25:21.942,480049000c51343334363138,0
240,79,78,76,69,2017-06-24 22:35:20.232,480049000c51343334363138,0
241,80,78,77,70,2017-06-25 02:45:20.382,480049000c51343334363138,0
242,78,78,76,70,2017-06-25 06:55:19.395,480049000c51343334363138,0
243,79,78,76,69,2017-06-25 11:10:16.958,480049000c51343334363138,0
244,88,84,83,69,2017-06-25 15:25:34.746,480049000c51343334363138,0
245,61,60,57,48,2017-05-13 04:20:54.669,480049000c51343334363138,0
246,60,59,56,48,2017-05-13 12:40:07.963,480049000c51343334363138,0
247,60,60,57,50,2017-06-08 20:20:03.426,480049000c51343334363138,0
248,60,59,56,50,2017-06-09 05:45:34.500,480049000c51343334363138,0
249,107,77,74,67,2017-06-09 17:50:33.507,480049000c51343334363138,0
250,95,78,74,67,2017-06-09 22:10:32.722,480049000c51343334363138,0
251,84,77,74,67,2017-06-10 02:20:32.711,480049000c51343334363138,0
252,79,77,74,67,2017-06-10 06:30:30.161,480049000c51343334363138,0
253,80,77,74,67,2017-06-10 10:40:28.742,480049000c51343334363138,0
254,127,89,77,68,2017-06-10 14:50:28.649,480049000c51343334363138,0
255,79,78,77,69,2017-06-16 16:05:35.612,480049000c51343334363138,0
256,80,78,74,68,2017-06-16 20:15:33.619,480049000c51343334363138,0
257,80,79,77,69,2017-06-17 00:25:32.393,480049000c51343334363138,0
258,81,79,77,70,2017-06-17 04:35:31.899,480049000c51343334363138,0
259,79,78,76,69,2017-06-17 08:45:31.013,480049000c51343334363138,0
260,79,79,77,69,2017-06-17 12:55:30.874,480049000c51343334363138,0
261,84,82,75,68,2017-06-17 17:05:29.659,480049000c51343334363138,0
262,81,81,74,68,2017-06-17 21:15:27.098,480049000c51343334363138,0
263,82,78,76,69,2017-06-18 01:25:26.158,480049000c51343334363138,0
264,79,78,76,69,2017-06-18 05:35:25.604,480049000c51343334363138,0
265,79,78,76,69,2017-06-18 09:45:24.220,480049000c51343334363138,0
266,85,81,78,70,2017-06-18 14:00:33.815,480049000c51343334363138,0
267,81,79,77,68,2017-06-18 18:15:34.293,480049000c51343334363138,0
268,79,79,76,68,2017-06-18 22:25:32.696,480049000c51343334363138,0
269,83,78,76,69,2017-06-19 02:35:32.537,480049000c51343334363138,0
270,79,78,76,69,2017-06-19 06:45:30.608,480049000c51343334363138,0
271,81,78,76,69,2017-06-19 10:55:30.679,480049000c51343334363138,0
272,86,79,77,69,2017-06-19 15:05:28.760,480049000c51343334363138,0
273,79,78,76,69,2017-06-19 19:15:29.181,480049000c51343334363138,0
274,79,78,76,69,2017-06-19 23:25:27.267,480049000c51343334363138,0
275,80,78,76,69,2017-06-20 03:35:25.817,480049000c51343334363138,0
276,79,77,75,68,2017-06-20 07:45:24.692,480049000c51343334363138,0
277,79,78,76,68,2017-06-22 18:10:33.287,480049000c51343334363138,0
278,80,78,75,68,2017-06-22 22:20:33.834,480049000c51343334363138,0
279,79,78,76,69,2017-06-23 03:50:30.884,480049000c51343334363138,0
280,79,78,76,69,2017-06-23 09:10:30.741,480049000c51343334363138,0
281,85,81,79,70,2017-06-23 13:20:29.473,480049000c51343334363138,0
282,86,83,78,68,2017-06-23 17:30:28.149,480049000c51343334363138,0
283,79,78,75,68,2017-06-23 21:40:26.790,480049000c51343334363138,0
284,82,78,77,70,2017-06-24 01:50:25.471,480049000c51343334363138,0
285,79,78,76,70,2017-06-24 06:00:26.174,480049000c51343334363138,0
286,78,77,76,69,2017-06-24 10:10:23.357,480049000c51343334363138,0
287,85,80,80,71,2017-06-24 14:20:23.862,480049000c51343334363138,8
288,84,81,77,68,2017-06-24 18:30:22.273,480049000c51343334363138,0
289,80,80,76,69,2017-06-24 22:40:21.350,480049000c51343334363138,0
290,81,78,77,70,2017-06-25 02:50:19.102,480049000c51343334363138,0
291,78,78,77,70,2017-06-25 07:00:18.514,480049000c51343334363138,0
292,78,77,75,69,2017-06-25 11:15:17.756,480049000c51343334363138,0
293,89,84,81,69,2017-06-25 15:30:34.606,480049000c51343334363138,0
294,60,60,56,48,2017-05-13 04:30:56.762,480049000c51343334363138,0
295,60,59,56,48,2017-05-13 12:50:09.692,480049000c51343334363138,0
296,60,60,57,50,2017-06-08 20:25:03.404,480049000c51343334363138,0
297,60,59,56,50,2017-06-09 05:50:33.576,480049000c51343334363138,0
298,98,78,74,67,2017-06-09 18:05:34.723,480049000c51343334363138,0
299,106,82,75,67,2017-06-09 22:15:33.514,480049000c51343334363138,0
300,80,77,74,67,2017-06-10 02:25:31.619,480049000c51343334363138,0
301,79,77,74,67,2017-06-10 06:35:31.281,480049000c51343334363138,0
302,80,77,74,67,2017-06-10 10:45:28.724,480049000c51343334363138,0
303,94,77,74,67,2017-06-10 14:55:28.866,480049000c51343334363138,0
304,80,78,76,68,2017-06-16 16:10:34.927,480049000c51343334363138,0
305,82,81,75,68,2017-06-16 20:20:33.490,480049000c51343334363138,0
306,79,78,75,68,2017-06-17 00:30:33.875,480049000c51343334363138,0
307,78,78,76,69,2017-06-17 04:40:32.242,480049000c51343334363138,0
308,78,77,76,69,2017-06-17 08:50:32.128,480049000c51343334363138,0
309,84,82,78,70,2017-06-17 13:00:30.399,480049000c51343334363138,0
310,83,81,75,68,2017-06-17 17:10:28.182,480049000c51343334363138,0
311,81,80,74,68,2017-06-17 21:20:28.827,480049000c51343334363138,0
312,83,78,77,69,2017-06-18 01:30:27.926,480049000c51343334363138,0
313,79,78,76,69,2017-06-18 05:40:25.490,480049000c51343334363138,0
314,79,78,76,70,2017-06-18 09:50:24.392,480049000c51343334363138,0
315,79,78,76,68,2017-06-18 14:05:33.138,480049000c51343334363138,0
316,79,79,75,68,2017-06-18 18:20:33.964,480049000c51343334363138,0
317,80,80,76,68,2017-06-18 22:30:33.165,480049000c51343334363138,0
318,84,78,76,70,2017-06-19 02:40:32.208,480049000c51343334363138,0
319,79,78,76,69,2017-06-19 06:50:30.612,480049000c51343334363138,0
320,81,78,76,69,2017-06-19 11:00:29.801,480049000c51343334363138,0
321,86,79,77,69,2017-06-19 15:10:30.276,480049000c51343334363138,0
322,79,78,75,68,2017-06-19 19:20:27.204,480049000c51343334363138,0
323,79,78,76,69,2017-06-19 23:30:25.813,480049000c51343334363138,0
324,80,78,76,69,2017-06-20 03:40:26.100,480049000c51343334363138,0
325,79,77,75,67,2017-06-20 07:50:24.551,480049000c51343334363138,0
326,80,79,77,68,2017-06-22 18:15:33.486,480049000c51343334363138,0
327,82,80,77,68,2017-06-22 22:25:32.885,480049000c51343334363138,0
328,79,78,76,69,2017-06-23 04:05:31.727,480049000c51343334363138,0
329,79,78,76,69,2017-06-23 09:15:29.907,480049000c51343334363138,0
330,86,81,79,71,2017-06-23 13:25:28.482,480049000c51343334363138,0
331,82,79,76,68,2017-06-23 17:35:28.403,480049000c51343334363138,0
332,79,78,75,68,2017-06-23 21:45:28.593,480049000c51343334363138,0
333,81,78,77,70,2017-06-24 01:55:26.158,480049000c51343334363138,0
334,79,78,76,69,2017-06-24 06:05:24.411,480049000c51343334363138,0
335,78,78,76,69,2017-06-24 10:15:23.655,480049000c51343334363138,0
336,84,80,78,70,2017-06-24 14:25:22.899,480049000c51343334363138,0
337,86,82,77,68,2017-06-24 18:35:21.454,480049000c51343334363138,0
338,81,80,77,69,2017-06-24 22:45:21.815,480049000c51343334363138,1
339,81,78,77,70,2017-06-25 02:55:19.434,480049000c51343334363138,0
340,78,78,76,70,2017-06-25 07:05:19.029,480049000c51343334363138,0
341,78,77,75,69,2017-06-25 11:20:17.123,480049000c51343334363138,0
342,86,82,81,69,2017-06-25 15:35:35.591,480049000c51343334363138,0
343,60,60,57,48,2017-05-13 04:40:58.362,480049000c51343334363138,0
344,60,59,56,48,2017-05-13 13:00:13.095,480049000c51343334363138,0
345,60,59,56,50,2017-06-08 23:50:05.428,480049000c51343334363138,0
346,60,59,56,50,2017-06-09 05:55:34.837,480049000c51343334363138,0
347,98,78,74,67,2017-06-09 18:10:33.855,480049000c51343334363138,0
348,89,78,74,67,2017-06-09 22:20:33.827,480049000c51343334363138,0
349,81,77,74,67,2017-06-10 02:30:34.008,480049000c51343334363138,0
350,79,77,74,67,2017-06-10 06:40:31.468,480049000c51343334363138,0
351,80,77,74,67,2017-06-10 10:50:30.032,480049000c51343334363138,0
352,94,77,74,67,2017-06-10 15:00:28.708,480049000c51343334363138,0
353,83,82,78,69,2017-06-16 16:15:35.723,480049000c51343334363138,0
354,79,79,75,68,2017-06-16 20:25:34.267,480049000c51343334363138,0
355,81,79,77,69,2017-06-17 00:35:32.232,480049000c51343334363138,0
356,78,78,76,69,2017-06-17 04:45:33.040,480049000c51343334363138,0
357,78,77,76,69,2017-06-17 08:55:30.206,480049000c51343334363138,0
358,81,79,77,70,2017-06-17 13:05:31.136,480049000c51343334363138,0
