File,Whistle,maxSNR1,bins1,maxSNR2,bins2,maxSNR3,bins3
2017-11-03T122000_0004e9e500057249_2.0.wav,0,16.049477,15,6.770636,0,3.653389,0
2017-11-03T122500_0004e9e500057249_2.0.wav,0,16.429593,37,9.605792,0,4.84801,0
2017-11-03T123500_0004e9e500057249_2.0.wav,0,15.408532,48,10.193514,1,4.952937,0
2017-11-03T124000_0004e9e500057249_2.0.wav,0,12.669169,11,7.079934,0,3.292354,0
2017-11-03T124500_0004e9e500057249_2.0.wav,0,13.92708,20,7.428093,0,4.033961,0
2017-11-03T125000_0004e9e500057249_2.0.wav,0,27.182712,33,9.882185,0,5.216507,0
2017-11-03T125500_0004e9e500057249_2.0.wav,0,16.446855,24,6.951359,0,3.826307,0
2017-11-03T130000_0004e9e500057249_2.0.wav,0,19.386274,42,8.561134,0,4.970725,0
2017-11-03T130500_0004e9e500057249_2.0.wav,0,15.969736,25,9.387664,0,3.48024,0
2017-11-03T131000_0004e9e500057249_2.0.wav,0,17.100243,88,10.863427,2,4.396153,0
2017-11-03T131500_0004e9e500057249_2.0.wav,0,16.201678,9,8.195935,0,3.754698,0
2017-11-03T132000_0004e9e500057249_2.0.wav,0,16.928101,36,10.797148,4,6.271422,0
2017-11-03T133000_0004e9e500057249_2.0.wav,0,15.732123,23,8.591429,0,4.078562,0
2017-11-03T133500_0004e9e500057249_2.0.wav,0,15.033106,28,8.572183,0,3.948537,0
2017-11-03T134000_0004e9e500057249_2.0.wav,0,19.034863,35,11.520486,2,6.149928,0
2017-11-03T134500_0004e9e500057249_2.0.wav,0,18.117495,32,9.166172,0,5.842349,0
2017-11-03T135000_0004e9e500057249_2.0.wav,0,19.024566,37,11.256508,2,3.87292,0
2017-11-03T135500_0004e9e500057249_2.0.wav,0,15.85337,20,10.106175,1,3.384079,0
2017-11-03T140500_0004e9e500057249_2.0.wav,0,20.431148,26,12.327296,2,4.216811,0
2017-11-03T141000_0004e9e500057249_2.0.wav,0,14.798354,32,7.062827,0,4.397068,0
2017-11-03T141500_0004e9e500057249_2.0.wav,0,16.663222,31,8.62547,0,3.726664,0
2017-11-03T142000_0004e9e500057249_2.0.wav,0,16.575617,29,11.411768,1,4.722086,0
2017-11-03T142500_0004e9e500057249_2.0.wav,0,18.93462,73,10.999469,2,5.470086,0
2017-11-03T143000_0004e9e500057249_2.0.wav,0,20.504451,52,10.521698,1,4.175145,0
2017-11-03T143500_0004e9e500057249_2.0.wav,0,17.907664,57,10.214347,1,3.893821,0
2017-11-03T144500_0004e9e500057249_2.0.wav,0,19.455177,45,11.210783,1,4.01428,0
2017-11-03T150000_0004e9e500057249_2.0.wav,0,17.347696,96,9.726888,0,4.8291,0
2017-11-03T150500_0004e9e500057249_2.0.wav,0,24.725614,47,19.062035,1,5.146715,0
2017-11-03T151000_0004e9e500057249_2.0.wav,0,20.43003,34,8.148475,0,4.182738,0
2017-11-03T151500_0004e9e500057249_2.0.wav,0,18.449166,37,8.318481,0,4.579733,0
2017-11-03T152000_0004e9e500057249_2.0.wav,0,20.334359,91,13.444772,2,5.297555,0
2017-11-03T152500_0004e9e500057249_2.0.wav,0,27.218164,61,12.554093,3,4.915768,0
2017-11-03T153000_0004e9e500057249_2.0.wav,0,23.095941,39,12.679518,1,3.778866,0
2017-11-03T153500_0004e9e500057249_2.0.wav,0,22.390603,31,10.989729,2,4.586631,0
2017-11-03T154000_0004e9e500057249_2.0.wav,0,16.245288,63,10.543901,1,4.48473,0
2017-11-03T154500_0004e9e500057249_2.0.wav,0,23.258286,108,11.567109,5,6.109843,0
2017-11-03T155000_0004e9e500057249_2.0.wav,0,17.230883,30,9.552923,0,3.989532,0
2017-11-03T155500_0004e9e500057249_2.0.wav,0,23.343022,50,15.022086,2,4.829588,0
2017-11-03T160000_0004e9e500057249_2.0.wav,0,19.831477,74,12.240317,3,4.235483,0
2017-11-03T160500_0004e9e500057249_2.0.wav,0,23.259118,61,12.828723,3,4.023336,0
2017-11-03T161000_0004e9e500057249_2.0.wav,0,21.586998,85,13.725481,4,4.756734,0
2017-11-03T161500_0004e9e500057249_2.0.wav,0,28.47172,98,14.208232,6,5.068577,0
2017-11-03T162000_0004e9e500057249_2.0.wav,0,31.226862,88,16.944654,3,4.961219,0
2017-11-03T162500_0004e9e500057249_2.0.wav,0,25.058419,94,11.89428,4,6.776055,0
2017-11-03T163000_0004e9e500057249_2.0.wav,0,16.071189,84,10.654057,1,4.019454,0
2017-11-03T163500_0004e9e500057249_2.0.wav,0,31.468994,141,18.995153,6,5.789098,0
2017-11-03T164000_0004e9e500057249_2.0.wav,0,25.947263,86,11.070231,2,4.122903,0
2017-11-03T164500_0004e9e500057249_2.0.wav,0,24.477259,74,11.540664,1,3.909619,0
2017-11-03T165000_0004e9e500057249_2.0.wav,0,20.494529,43,11.833048,1,3.638463,0
2017-11-03T165500_0004e9e500057249_2.0.wav,0,19.057479,47,10.569829,2,3.795854,0
2017-11-03T170000_0004e9e500057249_2.0.wav,0,24.458247,36,10.99474,3,3.694606,0
2017-11-03T170500_0004e9e500057249_2.0.wav,0,19.045272,52,9.569935,0,5.051756,0
2017-11-03T171000_0004e9e500057249_2.0.wav,0,19.598471,55,11.458435,1,4.374393,0
2017-11-03T171500_0004e9e500057249_2.0.wav,0,29.136049,123,15.340994,5,7.498107,0
2017-11-03T172000_0004e9e500057249_2.0.wav,0,22.126371,53,12.218352,2,5.413893,0
2017-11-03T172500_0004e9e500057249_2.0.wav,0,22.330095,94,10.812407,3,4.129756,0
2017-11-03T173000_0004e9e500057249_2.0.wav,0,24.160369,112,14.043536,6,7.968186,0
2017-11-03T173500_0004e9e500057249_2.0.wav,0,21.8047,92,12.186247,4,3.961937,0
2017-11-03T174000_0004e9e500057249_2.0.wav,0,23.253975,75,13.036017,3,4.993294,0
2017-11-03T174500_0004e9e500057249_2.0.wav,0,17.196932,41,8.603692,0,4.101519,0
2017-11-03T175000_0004e9e500057249_2.0.wav,0,18.786543,52,8.688781,0,4.415651,0
2017-11-03T175500_0004e9e500057249_2.0.wav,0,16.881771,38,8.1079,0,3.235371,0
2017-11-03T180000_0004e9e500057249_2.0.wav,0,28.803085,32,17.326739,2,4.569506,0
2017-11-03T180500_0004e9e500057249_2.0.wav,0,18.394725,41,11.813038,1,3.485865,0
2017-11-03T181000_0004e9e500057249_2.0.wav,0,20.189505,50,10.475427,1,3.910974,0
2017-11-03T181500_0004e9e500057249_2.0.wav,0,25.016515,56,15.493699,2,4.522747,0
2017-11-03T182000_0004e9e500057249_2.0.wav,0,18.818128,55,11.049149,3,3.919467,0
2017-11-03T182500_0004e9e500057249_2.0.wav,0,19.044117,61,11.832753,1,4.40024,0
2017-11-03T183000_0004e9e500057249_2.0.wav,0,22.011952,43,11.271209,1,4.115785,0
2017-11-03T183500_0004e9e500057249_2.0.wav,0,15.946201,39,9.045178,0,4.171044,0
2017-11-03T184000_0004e9e500057249_2.0.wav,0,16.110065,45,9.955182,0,4.307273,0
2017-11-02T150500_0004e9e500057249_2.0.wav,1,26.181252,98,14.695199,8,8.994947,0
2017-11-02T151000_0004e9e500057249_2.0.wav,1,61.638229,38,28.069642,15,19.999541,13
2017-11-02T153500_0004e9e500057249_2.0.wav,1,33.050628,126,19.373783,18,13.052754,6
2017-11-02T154500_0004e9e500057249_2.0.wav,1,38.52702,241,17.103853,15,12.447051,6
2017-11-02T160500_0004e9e500057249_2.0.wav,1,73.047151,53,28.189096,22,18.663044,20
2017-11-02T161000_0004e9e500057249_2.0.wav,1,41.271191,116,19.359528,11,9.864693,0
2017-11-02T165000_0004e9e500057249_2.0.wav,1,32.737957,81,14.532329,7,9.81234,0
2017-11-02T171000_0004e9e500057249_2.0.wav,1,162.797564,521,74.986785,212,54.201565,193
2017-11-02T180000_0004e9e500057249_2.0.wav,1,25.761545,24,11.230432,1,5.396171,0
